prefix_length,n_samples,collision_fraction,mean_predicted_probability,ECE,Brier
2,197,0.3401,0.1435,0.2000,0.2561
3,197,0.3401,0.1559,0.1897,0.2437
4,197,0.3401,0.1728,0.1728,0.2265
5,197,0.3401,0.1934,0.1668,0.2074
6,197,0.3401,0.2145,0.1256,0.1930
7,197,0.3401,0.2382,0.1143,0.1768
8,197,0.3401,0.2686,0.0837,0.1541
9,197,0.3401,0.3139,0.0546,0.1136
10,197,0.3401,0.3523,0.0830,0.0825
11,197,0.3401,0.3725,0.1037,0.0678
12,197,0.3401,0.3821,0.1213,0.0597
13,197,0.3401,0.3885,0.1219,0.0533
14,197,0.3401,0.3920,0.1302,0.0492
15,197,0.3401,0.3900,0.1314,0.0496
