method,noise_mode,noise_rate,f1,delta_f1_from_clean
TF-nnPU,symmetric,0.05,0.904246,-0.028430
CMPA-BCE,symmetric,0.05,0.895547,-0.015423
CMPA-nnPU,symmetric,0.05,0.897332,0.007742
TF-nnPU,symmetric,0.10,0.894309,-0.038368
CMPA-BCE,symmetric,0.10,0.894569,-0.016401
CMPA-nnPU,symmetric,0.10,0.875000,-0.014590
TF-nnPU,symmetric,0.15,0.843636,-0.089040
CMPA-BCE,symmetric,0.15,0.883907,-0.027063
CMPA-nnPU,symmetric,0.15,0.760331,-0.129259
TF-nnPU,symmetric,0.20,0.849462,-0.083214
CMPA-BCE,symmetric,0.20,0.874396,-0.036574
CMPA-nnPU,symmetric,0.20,0.780884,-0.108706
TF-nnPU,p_to_u,0.05,0.904641,-0.028035
CMPA-BCE,p_to_u,0.05,0.904348,-0.006622
CMPA-nnPU,p_to_u,0.05,0.888889,-0.000701
TF-nnPU,p_to_u,0.10,0.893755,-0.038921
CMPA-BCE,p_to_u,0.10,0.903892,-0.007078
CMPA-nnPU,p_to_u,0.10,0.892523,0.002933
TF-nnPU,p_to_u,0.15,0.899418,-0.033258
CMPA-BCE,p_to_u,0.15,0.876645,-0.034325
CMPA-nnPU,p_to_u,0.15,0.871967,-0.017623
TF-nnPU,p_to_u,0.20,0.882303,-0.050373
CMPA-BCE,p_to_u,0.20,0.889439,-0.021531
CMPA-nnPU,p_to_u,0.20,0.868268,-0.021321
