noise_pct,method,precision,recall,f1
0,TF-nnPU,0.956229,0.910256,0.932677
0,CMPA-BCE,0.903785,0.918269,0.91097
0,CMPA-nnPU,0.875776,0.903846,0.88959
5,TF-nnPU,0.9554,0.859,0.904641
5,CMPA-BCE,0.8924,0.9167,0.904348
5,CMPA-nnPU,0.921,0.859,0.888889
10,TF-nnPU,0.9048,0.883,0.893755
10,CMPA-BCE,0.8961,0.9119,0.903892
10,CMPA-nnPU,0.8682,0.9183,0.892523
15,TF-nnPU,0.9344,0.867,0.899418
15,CMPA-BCE,0.9003,0.8542,0.876645
15,CMPA-nnPU,0.9124,0.8349,0.871967
20,TF-nnPU,0.9354,0.8349,0.882303
20,CMPA-BCE,0.9167,0.8638,0.889439
20,CMPA-nnPU,0.8988,0.8397,0.868268
