method,noise_mode,noise_rate,f1,delta_f1_from_clean
TF-nnPU,symmetric,0.05,0.904246,-0.028430
GAT-LSTM-BCE,symmetric,0.05,0.860283,-0.000939
GAT-LSTM-nnPU,symmetric,0.05,0.856448,0.013524
TF-nnPU,symmetric,0.10,0.894309,-0.038368
GAT-LSTM-BCE,symmetric,0.10,0.853158,-0.008063
GAT-LSTM-nnPU,symmetric,0.10,0.835897,-0.007026
TF-nnPU,symmetric,0.15,0.843636,-0.089040
GAT-LSTM-BCE,symmetric,0.15,0.858944,-0.002277
GAT-LSTM-nnPU,symmetric,0.15,0.781421,-0.061503
TF-nnPU,symmetric,0.20,0.849462,-0.083214
GAT-LSTM-BCE,symmetric,0.20,0.850758,-0.010463
GAT-LSTM-nnPU,symmetric,0.20,0.000000,-0.842924
TF-nnPU,p_to_u,0.05,0.904641,-0.028035
GAT-LSTM-BCE,p_to_u,0.05,0.865036,0.003814
GAT-LSTM-nnPU,p_to_u,0.05,0.834365,-0.008558
TF-nnPU,p_to_u,0.10,0.893755,-0.038921
GAT-LSTM-BCE,p_to_u,0.10,0.863422,0.002201
GAT-LSTM-nnPU,p_to_u,0.10,0.852327,0.009404
TF-nnPU,p_to_u,0.15,0.899418,-0.033258
GAT-LSTM-BCE,p_to_u,0.15,0.866242,0.005021
GAT-LSTM-nnPU,p_to_u,0.15,0.837174,-0.005750
TF-nnPU,p_to_u,0.20,0.882303,-0.050373
GAT-LSTM-BCE,p_to_u,0.20,0.857368,-0.003853
GAT-LSTM-nnPU,p_to_u,0.20,0.852174,0.009250
