noise_pct,method,precision,recall,f1
0,TF-nnPU,0.956229,0.910256,0.932677
0,GAT-LSTM-BCE,0.852433,0.870192,0.861221
0,GAT-LSTM-nnPU,0.818731,0.86859,0.842924
5,TF-nnPU,0.9554,0.859,0.904641
5,GAT-LSTM-BCE,0.8523,0.8782,0.865036
5,GAT-LSTM-nnPU,0.8069,0.8638,0.834365
10,TF-nnPU,0.9048,0.883,0.893755
10,GAT-LSTM-BCE,0.8462,0.8814,0.863422
10,GAT-LSTM-nnPU,0.8537,0.851,0.852327
15,TF-nnPU,0.9344,0.867,0.899418
15,GAT-LSTM-BCE,0.8608,0.8718,0.866242
15,GAT-LSTM-nnPU,0.8038,0.8734,0.837174
20,TF-nnPU,0.9354,0.8349,0.882303
20,GAT-LSTM-BCE,0.8434,0.8718,0.857368
20,GAT-LSTM-nnPU,0.8409,0.8638,0.852174
